Survey Year,Year,Site,Quad,Species,Live.Length,Live.Width,Live Cover,Notes
1,2019,FTL5,27,MCAV,41,5,205,
3,2021,FTL6,37,PAST,41,25,1025,
3,2022,JUL Deep,35,ALAM,41,38,1558,
3,2022,FTL Deep,25,OFRA,41,14,574,
3,2022,FTL Deep,37,MCAV,41,30,1230,
1,2019,FTL5,6,MCAV,40,35,1400,
1,2019,FTL5,8,MCAV,40,10,400,
1,2019,JUL_6,20,PAST,40,32,1280,
2,2020,FTL1,38,SSID,40,20,800,
2,2020,FTL5,20,MCAV,40,35,1400,
2,2021,FTL Deep,31,OFRA,40,15,600,
2,2021,Pompano,3,OFRA,40,16,640,
2,2021,Hillsboro,40,MALI,40,30,1200,
3,2022,JUL Deep,39,MCAV,40,32,1280,
1,2020,JUL Deep,35,ALAM,39,39,1521,
1,2020,JUL Deep,39,MCAV,39,30,1170,
1,2020,FTL Deep,31,OFRA,38,16,608,
3,2022,Deerfield,40,HCUC,38,37,1406,
1,2019,FTL4,26,MCAV,37,27,999,
1,2019,FTL5,17,MCAV,37,29,1073,
2,2020,FTL4,15,MCAV,37,27,999,
2,2020,FTL4,26,MCAV,37,27,999,
2,2020,FTL6,37,MCAV,37,20,740,
3,2022,FTL Deep,31,OFRA,37,16,592,
2,2020,FTL4,16,MCAV,36,19,684,
2,2020,FTL4,24,MCAV,36,19,684,
3,2021,FTL5,35,MCAV,36,15,540,
3,2022,Hollywood,2,ALAM,36,26,936,
1,2019,FTL4,15,MCAV,35,12,420,
1,2019,FTL5,14,MCAV,35,20,700,
1,2019,HB3,22,OFAV,35,20,700,
1,2019,POMP2,4,OFRA,35,35,1225,
2,2020,FTL4,16,MCAV,35,25,875,
2,2020,FTL4,24,MCAV,35,25,875,
2,2020,FTL4,25,MCAV,35,20,700,
2,2020,FTL5,27,MCAV,35,5,175,
2,2020,FTL5,35,MCAV,35,13,455,
2,2020,POMP3,10,MDEC,35,20,700,
3,2021,FTL4,19,ACER,35,21,735,
3,2021,HH2,12,SBOU,35,29,1015,
1,2020,Pompano,35,MCAV,35,30,1050,
1,2020,Pompano,38,OFRA,35,15,525,
2,2021,JUL Deep,21,ALAM,35,25,875,
2,2021,FTL Deep,2,OFRA,35,30,1050,
2,2021,FTL Deep,37,MCAV,35,25,875,
2,2021,Hollywood,2,ALAM,35,30,1050,
3,2022,Hillsboro,8,HCUC,35,20,700,
1,2019,HH2,12,SBOU,34,29,986,
3,2021,FTL4,16,MCAV,34,30,1020,
3,2021,FTL5,10,MCAV,34,26,884,
3,2021,JUL_6,20,PAST,34,21,714,
1,2020,JUL Deep,20,OFRA,34,27,918,
1,2020,JUL Deep,22,ALAM,34,25,850,
2,2021,JUL Deep,20,OFRA,34,26,884,
2,2021,Deerfield,40,HCUC,34,33,1122,
3,2022,FTL Deep,11,PAST,34,18,612,
2,2020,JUL_6,20,PAST,33,30,990,
3,2021,POMP2,4,OFRA,33,13,429,
3,2021,POMP2,37,OFRA,33,17,561,
1,2020,FTL Deep,2,OFRA,33,30,990,
1,2020,Hillsboro,8,HCUC,33,27,891,
3,2022,JUL Deep,4,MCAV,33,30,990,
3,2022,JUL Deep,21,ALAM,33,28,924,
3,2022,FTL Deep,2,OFRA,33,30,990,
3,2021,DB2,30,MCAV,32,27,864,
3,2021,FTL5,27,MCAV,32,2,64,
3,2021,HB2,39,MCAV,32,22,704,
1,2020,FTL Deep,37,MCAV,32,27,864,
2,2021,JUL Deep,39,MCAV,32,25,800,
3,2022,Hillsboro,35,MCAV,32,30,960,
1,2019,FTL4,26,MCAV,31,14,434,
1,2020,Deerfield,40,HCUC,31,30,930,
1,2020,Hillsboro,35,MCAV,31,25,775,
2,2021,JUL Deep,4,MCAV,31,30,930,
2,2021,JUL Deep,22,MCAV,31,24,744,
3,2022,JUL Deep,20,OFRA,31,28,868,
1,2019,DB2,30,MCAV,30,25,750,
1,2019,FTL5,26,MCAV,30,7,210,
1,2019,FTL5,30,MCAV,30,21,630,
1,2019,HH2,33,SBOU,30,22,660,
1,2019,JUL_6,39,PAST,30,18,540,
1,2019,POMP2,25,OFAV,30,22,660,
2,2020,FTL4,26,MCAV,30,12,360,
2,2020,FTL5,2,MCAV,30,26,780,
2,2020,FTL5,14,MCAV,30,14,420,
2,2020,HB3,22,OFAV,30,30,900,
2,2020,HH2,12,SBOU,30,28,840,
2,2020,HH2,33,SBOU,30,22,660,
2,2020,JUL_8,9,PAST,30,25,750,
2,2020,POMP2,4,OFRA,30,15,450,
2,2020,POMP2,37,OFRA,30,18,540,
3,2021,DB3,16,MCAV,30,25,750,
1,2020,Pompano,10,MCAV,30,25,750,
1,2020,FTL Deep,12,ALAM,30,30,900,
1,2020,FTL Deep,13,ALAM,30,13,390,
1,2020,FTL Deep,37,MCAV,30,21,630,
2,2021,Hillsboro,35,MCAV,30,30,900,
1,2019,HB2,6,PAST,29,23,667,
1,2019,HB2,39,MCAV,29,20,580,
1,2019,POMP4,31,SBOU,29,19,551,
2,2020,FTL5,10,MCAV,29,28,812,
2,2020,HB2,13,MCAV,29,15,435,
3,2021,FTL5,14,MCAV,29,18,522,
3,2021,JUL_7,1,AAGA,29,15,435,
1,2020,JUL Deep,23,MDEC,29,14,406,
3,2022,FTL Deep,37,MCAV,29,23,667,
1,2019,FTL5,31,MCAV,28,12,336,
2,2020,DB3,17,SINT,28,14,392,
2,2020,FTL4,15,MCAV,28,14,392,
2,2020,FTL4,26,MCAV,28,14,392,
2,2020,FTL5,30,MCAV,28,18,504,
2,2020,POMP3,31,MDEC,28,3,84,
3,2021,DB3,17,SINT,28,20,560,
3,2021,FTL4,14,MCAV,28,16,448,
3,2021,FTL5,30,MCAV,28,19,532,
3,2021,FTL5,39,MCAV,28,13,364,
3,2021,JUL_2,7,MCAV,28,23,644,
3,2021,JUL_8,36,PAST,28,13,364,
1,2020,Pompano,40,MDEC,28,17,476,
1,2020,Hollywood,2,ALAM,28,25,700,
2,2021,JUL Deep,15,PAST,28,21,588,
2,2021,JUL Deep,34,MSEN,28,22,616,
2,2021,Pompano,22,MCAV,28,25,700,
3,2022,Hollywood,38,MDEC,28,15,420,
3,2022,Pompano,22,MCAV,28,24,672,
1,2019,FTL4,26,MCAV,27,14,378,
1,2019,FTL5,11,MCAV,27,14,378,
2,2020,DB2,30,MCAV,27,25,675,
2,2020,JUL_8,36,PAST,27,25,675,
3,2021,DB3,27,PAST,27,16,432,
3,2021,FTL4,14,MCAV,27,26,702,
3,2021,FTL5,8,MCAV,27,10,270,
3,2021,JUL_8,9,PAST,27,25,675,
1,2020,FTL Deep,3,SINT,27,21,567,
2,2021,JUL Deep,6,SINT,27,21,567,
2,2021,Deerfield,17,MDEC,27,10,270,
3,2022,JUL Deep,7,PAST,27,23,621,
3,2022,JUL Deep,16,ALAM,27,22,594,
2,2020,HB2,6,PAST,26,20,520,
2,2020,POMP2,20,SSID,26,16,416,
3,2021,FTL4,27,MCAV,26,15,390,
3,2021,HB3,13,MCAV,26,25,650,
1,2020,Hollywood,25,MCAV,26,17,442,
2,2021,JUL Deep,7,PAST,26,20,520,
2,2021,JUL Deep,25,ALAM,26,20,520,
2,2021,FTL Deep,3,SINT,26,21,546,
2,2021,Pompano,10,MCAV,26,21,546,
3,2022,Hollywood,25,MCAV,26,20,520,
3,2022,JUL Deep,15,PAST,26,18,468,
3,2022,Pompano,10,MCAV,26,22,572,
1,2019,FTL5,10,MCAV,25,18,450,
1,2019,FTL5,13,SSID,25,10,250,
1,2019,FTL5,28,SSID,25,24,600,
1,2019,FTL5,37,MCAV,25,71,1775,
1,2019,JUL_7,38,MCAV,25,19,475,
1,2019,JUL_8,9,PAST,25,20,500,
1,2019,POMP2,20,SSID,25,22,550,
2,2020,FTL4,13,ACER,25,17,425,
2,2020,FTL5,17,MCAV,25,23,575,
2,2020,FTL5,38,MCAV,25,15,375,
2,2020,JUL_2,7,MCAV,25,20,500,
2,2020,JUL_2,27,MDEC,25,5,125,
2,2020,POMP2,37,OFRA,25,15,375,
2,2020,POMP3,10,MDEC,25,20,500,
3,2021,FTL2,34,MDEC,25,12,300,
3,2021,FTL4,24,MCAV,25,15,375,
3,2021,FTL5,26,MCAV,25,9,225,
3,2021,HH2,32,SBOU,25,10,250,
1,2020,Pompano,10,MCAV,25,20,500,
1,2020,Pompano,21,MCAV,25,20,500,
1,2020,FTL Deep,30,ALAM,25,23,575,
1,2020,Hollywood,38,MDEC,25,15,375,
2,2021,FTL Deep,9,MDEC,25,10,250,
2,2021,FTL Deep,11,PAST,25,22,550,
2,2021,FTL Deep,12,MDEC,25,14,350,
2,2021,Hollywood,38,MDEC,25,15,375,
3,2022,JUL Deep,16,PAST,25,18,450,
3,2022,FTL Deep,3,SINT,25,22,550,
3,2022,FTL Deep,5,MCAV,25,7,175,
3,2022,FTL Deep,9,MDEC,25,10,250,
3,2022,FTL Deep,27,MCAV,25,15,375,
1,2019,JUL_2,7,MCAV,24,23,552,
2,2020,HB3,13,MCAV,24,21,504,
2,2020,POMP3,6,MDEC,24,19,456,
2,2020,POMP4,30,SBOU,24,26,624,
3,2021,FTL5,31,SSID,24,6,144,
1,2020,Pompano,22,MCAV,24,14,336,
2,2021,JUL Deep,23,MDEC,24,12,288,
2,2021,Hillsboro,2,MSEN,24,18,432,
1,2019,FTL6,37,PAST,23,20,460,
1,2019,HB2,38,OFAV,23,12,276,
1,2019,HB3,13,MCAV,23,21,483,
2,2020,HH2,32,SBOU,23,17,391,
3,2021,HB3,22,OFAV,23,8,184,
3,2021,JUL_8,5,PAST,23,7,161,
1,2020,JUL Deep,7,PAST,23,19,437,
2,2020,FTL5,26,MCAV,22,10,220,
2,2020,FTL5,39,MCAV,22,15,330,
2,2020,JUL_2,4,PAST,22,15,330,
2,2020,JUL_7,38,MCAV,22,10,220,
3,2021,FTL1,21,PAST,22,12,264,
3,2021,HB3,22,OFAV,22,7,154,
3,2021,POMP3,6,MSEN,22,10,220,
3,2021,POMP3,10,MDEC,22,15,330,
1,2020,Pompano,39,MDEC,22,22,484,
1,2020,FTL Deep,4,MCAV,22,15,330,
1,2020,FTL Deep,27,MCAV,22,17,374,
1,2020,JUL Deep,30,SINT,22,19,418,
2,2021,FTL Deep,27,MCAV,22,17,374,
2,2021,FTL Deep,30,ALAM,22,20,440,
2,2021,FTL Deep,31,SSID,22,20,440,
2,2021,Deerfield,4,MDEC,22,6,132,
2,2021,Hollywood,8,SINT,22,18,396,
3,2022,JUL Deep,31,PAST,22,11,242,
3,2022,JUL Deep,31,MCAV,22,19,418,
3,2022,FTL Deep,30,ALAM,22,21,462,
1,2019,FTL1,21,PAST,21,12,252,
1,2019,JUL_6,31,PAST,21,14,294,
2,2020,FTL5,13,SSID,21,5,105,
3,2021,FTL5,13,SSID,21,5,105,
3,2021,FTL5,17,MCAV,21,20,420,
3,2021,FTL5,28,SSID,21,11,231,
3,2021,HB2,6,PAST,21,18,378,
3,2021,JUL_7,32,PAST,21,3,63,
3,2021,POMP6,32,PAST,21,17,357,
1,2020,FTL Deep,25,OFRA,21,8,168,
1,2020,JUL Deep,4,MCAV,21,17,357,
1,2020,JUL Deep,15,PAST,21,14,294,
1,2020,Hollywood,37,ALAM,21,15,315,
2,2021,JUL Deep,10,PAST,21,15,315,
2,2021,Pompano,10,MCAV,21,20,420,
2,2021,Hollywood,25,MCAV,21,16,336,
3,2022,Hollywood,8,SINT,21,15,315,
3,2022,JUL Deep,10,PAST,21,18,378,
3,2022,JUL Deep,22,MCAV,21,20,420,
3,2022,Pompano,10,MCAV,21,19,399,
3,2022,Pompano,20,MDEC,21,12,252,
1,2019,FTL5,20,SINT,20,7,140,
1,2019,JUL_6,18,PAST,20,16,320,
1,2019,JUL_8,28,PAST,20,15,300,
1,2019,POMP1,37,SSID,20,14,280,
1,2019,POMP3,6,PAST,20,15,300,
1,2019,POMP3,10,MDEC,20,15,300,
2,2020,FTL1,21,PAST,20,15,300,
2,2020,FTL2,34,MDEC,20,18,360,
2,2020,FTL6,37,PAST,20,15,300,
2,2020,JUL_6,18,PAST,20,15,300,
3,2021,HB3,31,MDEC,20,14,280,
3,2021,HH2,33,SBOU,20,20,400,
3,2021,JUL_2,37,MDEC,20,10,200,
3,2021,JUL_6,2,PAST,20,15,300,
3,2021,JUL_6,18,PAST,20,12,240,
3,2021,POMP1,37,SSID,20,18,360,
3,2021,POMP3,10,MDEC,20,18,360,
3,2021,POMP3,31,MDEC,20,10,200,
3,2021,POMP3,35,MCAV,20,18,360,
1,2020,Pompano,6,MCAV,20,14,280,
1,2020,Pompano,8,SINT,20,15,300,
1,2020,Pompano,9,SINT,20,2,40,
1,2020,Pompano,27,HCUC,20,12,240,
1,2020,Pompano,38,MDEC,20,18,360,
1,2020,FTL Deep,9,MDEC,20,14,280,
1,2020,FTL Deep,10,PAST,20,14,280,
1,2020,FTL Deep,11,PAST,20,15,300,
1,2020,FTL Deep,38,SSID,20,14,280,
1,2020,JUL Deep,16,PAST,20,15,300,
1,2020,JUL Deep,22,MCAV,20,20,400,
1,2020,JUL Deep,25,ALAM,20,10,200,
1,2020,JUL Deep,15,ALAM,20,12,240,
1,2020,JUL Deep,31,MCAV,20,19,380,
1,2020,JUL Deep,31,PAST,20,14,280,
1,2020,JUL Deep,34,MDEC,20,12,240,
1,2020,Hillsboro,21,MCAV,20,19,380,
2,2021,JUL Deep,10,PAST,20,15,300,
2,2021,JUL Deep,30,SINT,20,16,320,
2,2021,JUL Deep,31,MCAV,20,16,320,
2,2021,FTL Deep,4,MSEN,20,13,260,
2,2021,Pompano,8,SINT,20,18,360,
2,2021,Pompano,20,MSEN,20,18,360,
2,2021,Pompano,27,HCUC,20,12,240,
2,2021,Pompano,28,MDEC,20,10,200,
2,2021,Hillsboro,21,MCAV,20,14,280,
3,2022,Hollywood,37,ALAM,20,17,340,
3,2022,JUL Deep,30,SINT,20,15,300,
3,2022,JUL Deep,31,SINT,20,13,260,
3,2022,JUL Deep,35,SINT,20,6,120,
3,2022,Pompano,40,MDEC,20,10,200,
3,2022,FTL Deep,4,MCAV,20,15,300,
3,2022,FTL Deep,37,SSID,20,15,300,
1,2019,FTL1,24,PAST,19,14,266,
1,2019,HB2,13,MCAV,19,15,285,
1,2019,JUL_2,4,PAST,19,12,228,
1,2019,JUL_7,1,AAGA,19,15,285,
1,2019,POMP3,35,MCAV,19,18,342,
2,2020,FTL6,27,AAGA,19,14,266,
2,2020,POMP1,37,SSID,19,13,247,
2,2020,POMP3,35,MCAV,19,16,304,
2,2020,POMP6,32,PAST,19,17,323,
3,2021,DB2,24,MCAV,19,17,323,
3,2021,FTL5,25,MCAV,19,14,266,
3,2021,FTL6,26,AAGA,19,12,228,
3,2021,FTL6,36,PAST,19,19,361,
3,2021,POMP2,20,SSID,19,14,266,
1,2020,JUL Deep,6,SINT,19,7,133,
1,2020,Hollywood,29,SINT,19,12,228,
3,2022,Hillsboro,4,MALI,19,13,247,
3,2022,Hillsboro,21,MCAV,19,18,342,
3,2022,Hillsboro,29,EFAS,19,15,285,
3,2022,FTL Deep,26,SINT,19,11,209,
1,2019,DB3,26,MDEC,18,18,324,
1,2019,FTL6,22,PAST,18,10,180,
1,2019,HB2,5,MCAV,18,10,180,
1,2019,JUL_6,2,PAST,18,22,396,
1,2019,POMP6,32,PAST,18,15,270,
2,2020,FTL1,25,PAST,18,13,234,
2,2020,FTL5,25,MCAV,18,13,234,
2,2020,HB2,5,MCAV,18,18,324,
2,2020,HB3,29,PAST,18,11,198,
2,2020,HH2,6,SBOU,18,15,270,
2,2020,JUL_6,2,PAST,18,15,270,
2,2020,JUL_6,11,ACER,18,15,270,
2,2020,JUL_7,1,AAGA,18,15,270,
2,2020,JUL_7,7,SSID,18,15,270,
2,2020,JUL_8,22,PAST,18,17,306,
2,2020,POMP3,6,PAST,18,12,216,
3,2021,FTL1,24,PAST,18,15,270,
3,2021,FTL4,17,ACER,18,17,306,
3,2021,HB3,39,MCAV,18,7,126,
3,2021,HH2,29,SBOU,18,12,216,
3,2021,JUL_2,40,SSID,18,11,198,
3,2021,JUL_6,32,PAST,18,9,162,
3,2021,JUL_7,38,MCAV,18,13,234,
1,2020,FTL Deep,4,MSEN,18,7,126,
1,2020,FTL Deep,27,SINT,18,10,180,
1,2020,FTL Deep,31,MDEC,18,10,180,
1,2020,JUL Deep,10,PAST,18,17,306,
1,2020,Hollywood,8,SINT,18,10,180,
2,2021,JUL Deep,16,PAST,18,16,288,
2,2021,JUL Deep,23,MCAV,18,16,288,
2,2021,JUL Deep,24,MSEN,18,12,216,
2,2021,FTL Deep,10,PAST,18,9,162,
2,2021,FTL Deep,37,SSID,18,14,252,
2,2021,Pompano,38,MDEC,18,10,180,
2,2021,Pompano,40,MDEC,18,15,270,
2,2021,Deerfield,15,MSEN,18,10,180,
2,2021,Hollywood,37,ALAM,18,16,288,
3,2022,Hollywood,29,SINT,18,10,180,
3,2022,Pompano,27,HCUC,18,10,180,
3,2022,Hillsboro,19,MSEN,18,13,234,
1,2019,DB2,24,MCAV,17,15,255,
1,2019,FTL2,34,MDEC,17,11,187,
1,2019,FTL5,25,MCAV,17,10,170,
1,2019,FTL6,27,AAGA,17,14,238,
1,2019,JUL_2,8,OFAV,17,15,255,"Could be OFRA, hard to tell"
1,2019,JUL_8,22,PAST,17,15,255,
1,2019,POMP3,6,MDEC,17,17,289,
1,2019,POMP3,10,MDEC,17,12,204,
1,2019,POMP3,29,PAST,17,12,204,
2,2020,FTL5,28,SSID,17,10,170,
2,2020,FTL6,22,PAST,17,11,187,
2,2020,POMP1,13,SSID,17,12,204,
2,2020,POMP1,14,PPOR,17,6,102,
2,2020,POMP2,25,OFRA,17,13,221,
3,2021,FTL1,36,PAST,17,13,221,
3,2021,JUL_2,8,OFAV,17,15,255,"Could be OFRA, hard to tell"
3,2021,JUL_6,30,PAST,17,10,170,
3,2021,JUL_8,28,PAST,17,15,255,
3,2021,POMP3,18,PAST,17,10,170,
3,2021,POMP4,31,SBOU,17,15,255,
1,2020,FTL Deep,16,MSEN,17,16,272,
1,2020,JUL Deep,5,MCAV,17,9,153,
1,2020,JUL Deep,26,ALAM,17,15,255,
1,2020,JUL Deep,31,SINT,17,11,187,
1,2020,Deerfield,4,MDEC,17,7,119,
2,2021,JUL Deep,26,ALAM,17,12,204,
2,2021,JUL Deep,31,SINT,17,12,204,
2,2021,FTL Deep,4,MCAV,17,10,170,
2,2021,FTL Deep,10,SINT,17,13,221,
2,2021,FTL Deep,15,SINT,17,9,153,
2,2021,FTL Deep,26,SINT,17,10,170,
2,2021,Pompano,1,MSEN,17,11,187,
2,2021,Deerfield,7,MCAV,17,15,255,
2,2021,Hollywood,29,SINT,17,11,187,
3,2022,JUL Deep,23,MDEC,17,8,136,
3,2022,JUL Deep,26,ALAM,17,14,238,
3,2022,JUL Deep,31,PAST,17,14,238,
3,2022,Pompano,9,SINT,17,17,289,
3,2022,Pompano,38,OFRA,17,15,255,
3,2022,FTL Deep,16,MSEN,17,13,221,
1,2019,HB3,31,MDEC,16,11,176,
1,2019,JUL_2,15,SBOU,16,8,128,
1,2019,JUL_6,21,PAST,16,4,64,
1,2019,JUL_6,32,PAST,16,14,224,
1,2019,JUL_7,21,PAST,16,13,208,
1,2019,POMP3,8,PAST,16,15,240,
1,2019,POMP3,20,PAST,16,13,208,
2,2020,FTL2,7,SINT,16,12,192,
2,2020,FTL3,40,MCAV,16,11,176,
2,2020,HB3,32,MDEC,16,12,192,
2,2020,HB3,34,PAST,16,11,176,
2,2020,JUL_2,37,MDEC,16,5,80,
2,2020,JUL_6,31,PAST,16,15,240,
2,2020,JUL_6,32,PAST,16,11,176,
2,2020,POMP1,2,PAST,16,15,240,
2,2020,POMP3,17,PAST,16,12,192,
2,2020,POMP3,29,PAST,16,9,144,
2,2020,POMP3,29,PAST,16,10,160,
3,2021,DB3,24,SINT,16,12,192,
3,2021,FTL1,23,SINT,16,14,224,
3,2021,FTL3,16,SINT,16,15,240,
3,2021,FTL4,5,PAST,16,12,192,
3,2021,FTL6,2,PAST,16,14,224,
3,2021,FTL6,19,AAGA,16,10,160,
3,2021,HB3,29,PAST,16,12,192,
3,2021,JUL_7,7,SSID,16,15,240,
3,2021,POMP1,13,SSID,16,11,176,
3,2021,POMP3,8,PAST,16,10,160,
1,2020,JUL Deep,12,MCAV,16,14,224,
1,2020,Deerfield,16,PAST,16,6,96,
1,2020,Deerfield,24,MDEC,16,14,224,
2,2021,JUL Deep,11,SINT,16,13,208,
2,2021,JUL Deep,12,MCAV,16,14,224,
2,2021,Pompano,20,MCAV,16,15,240,
3,2022,JUL Deep,12,MCAV,16,14,224,
3,2022,Pompano,20,MCAV,16,16,256,
3,2022,FTL Deep,33,SINT,16,14,224,
3,2022,FTL Deep,38,SINT,16,9,144,
1,2019,DB3,14,PAST,15,5,75,
1,2019,DB3,24,SINT,15,11,165,
1,2019,DB3,31,MDEC,15,5,75,
1,2019,FTL1,36,PAST,15,11,165,
1,2019,FTL2,7,SINT,15,10,150,
1,2019,FTL4,5,PAST,15,13,195,
1,2019,FTL4,13,ACER,15,10,150,
1,2019,FTL5,25,MCAV,15,10,150,
1,2019,FTL6,12,PAST,15,10,150,
1,2019,FTL6,22,AAGA,15,8,120,
1,2019,FTL6,23,PAST,15,8,120,
1,2019,FTL6,23,AAGA,15,10,150,
1,2019,HB2,10,PAST,15,8,120,
1,2019,HB3,1,PAST,15,10,150,
1,2019,HB3,20,SINT,15,8,120,
1,2019,HB3,29,PAST,15,10,150,
1,2019,HH2,32,SBOU,15,10,150,
1,2019,JUL_2,3,MDEC,15,9,135,
1,2019,JUL_2,37,MDEC,15,9,135,
1,2019,JUL_2,38,MDEC,15,10,150,
1,2019,JUL_2,40,SSID,15,5,75,
1,2019,JUL_8,21,PAST,15,11,165,
1,2019,JUL_8,23,PAST,15,11,165,
1,2019,POMP1,13,SSID,15,15,225,
1,2019,POMP3,29,PAST,15,10,150,
1,2019,POMP3,34,PAST,15,10,150,
1,2019,POMP6,2,SINT,15,11,165,
1,2019,POMP6,34,PAST,15,14,210,
2,2020,DB2,3,PAST,15,13,195,
2,2020,DB3,24,SINT,15,12,180,
2,2020,DB3,27,PAST,15,12,180,
2,2020,FTL1,23,SINT,15,13,195,
2,2020,FTL1,36,PAST,15,12,180,
2,2020,FTL4,5,PAST,15,12,180,
2,2020,FTL4,26,MCAV,15,10,150,
2,2020,FTL5,8,MCAV,15,7,105,
2,2020,FTL5,24,MCAV,15,12,180,
2,2020,FTL6,24,AAGA,15,7,105,
2,2020,FTL6,34,AAGA,15,10,150,
2,2020,HB2,39,MCAV,15,13,195,
2,2020,HB3,6,MCAV,15,12,180,
2,2020,HB3,21,PAST,15,12,180,
2,2020,HB3,26,MDEC,15,5,75,
2,2020,HB3,33,PAST,15,12,180,
2,2020,HB3,38,MDEC,15,12,180,
2,2020,HB3,39,MCAV,15,5,75,
2,2020,JUL_2,1,SSID,15,7,105,
2,2020,JUL_2,8,OFAV,15,12,180,"Could be OFRA, hard to tell"
2,2020,JUL_2,15,SBOU,15,15,225,
2,2020,JUL_2,38,MDEC,15,10,150,
2,2020,JUL_2,40,SSID,15,6,90,
2,2020,JUL_8,2,MCAV,15,8,120,
2,2020,JUL_8,21,PAST,15,11,165,
2,2020,JUL_8,28,PAST,15,15,225,
2,2020,POMP1,11,PPOR,15,11,165,
2,2020,POMP2,14,PAST,15,16,240,
2,2020,POMP3,7,MCAV,15,6,90,
2,2020,POMP3,9,MDEC,15,8,120,
2,2020,POMP3,36,MDEC,15,8,120,
3,2021,FTL1,26,PPOR,15,4,60,
3,2021,FTL1,38,AAGA,15,11,165,
3,2021,FTL2,7,SINT,15,12,180,
3,2021,FTL2,15,MDEC,15,10,150,
3,2021,FTL4,17,ACER,15,5,75,
3,2021,FTL4,25,MCAV,15,10,150,
3,2021,FTL6,15,AAGA,15,11,165,
3,2021,HB3,11,ALAM,15,10,150,
3,2021,HB3,21,PAST,15,8,120,
3,2021,HB3,26,MDEC,15,6,90,
3,2021,HB3,33,PAST,15,10,150,
3,2021,HB3,34,PAST,15,10,150,
3,2021,JUL_2,4,PAST,15,14,210,
3,2021,JUL_2,15,SBOU,15,15,225,
3,2021,JUL_2,40,SSID,15,6,90,
3,2021,JUL_6,31,PAST,15,5,75,
3,2021,JUL_6,40,ACER,15,8,120,
3,2021,JUL_7,21,PAST,15,6,90,
3,2021,JUL_8,22,PAST,15,11,165,
3,2021,POMP1,2,PAST,15,12,180,
3,2021,POMP1,11,PPOR,15,11,165,
3,2021,POMP3,6,PAST,15,11,165,
3,2021,POMP3,20,MDEC,15,7,105,
3,2021,POMP3,34,PAST,15,12,180,
3,2021,POMP6,34,PAST,15,6,90,
1,2020,Pompano,19,MSEN,15,12,180,
1,2020,Pompano,20,MCAV,15,15,225,
1,2020,FTL Deep,4,MDEC,15,5,75,
1,2020,FTL Deep,8,MCAV,15,10,150,
1,2020,FTL Deep,15,PAST,15,9,135,
1,2020,Deerfield,7,MCAV,15,10,150,
1,2020,Hillsboro,14,SINT,15,8,120,
1,2020,Hillsboro,19,MSEN,15,12,180,
1,2020,Hillsboro,29,EFAS,15,12,180,
1,2020,Hillsboro,33,MDEC,15,10,150,
2,2021,JUL Deep,31,PAST,15,12,180,
2,2021,FTL Deep,33,SINT,15,15,225,
