Survey Year,Year,Site,Species,Abundance,Density,Area
2,2020,FTL3,SINT,3,0.1,30
2,2020,FTL3,SSID,4,0.133333333,30
2,2020,FTL4,CNAT,1,0.033333333,30
2,2020,FTL4,MCAV,4,0.133333333,30
2,2020,FTL4,PAME,3,0.1,30
2,2020,FTL4,PAST,2,0.066666667,30
2,2020,FTL4,SSID,15,0.5,30
2,2020,FTL5,PAST,1,0.033333333,30
2,2020,FTL5,SSID,12,0.4,30
2,2020,FTL6,AAGA,15,0.5,30
2,2020,FTL6,PPOR,1,0.033333333,30
2,2020,FTL6,SSID,3,0.1,30
2,2020,HB2,DSTO,1,0.033333333,30
2,2020,HB2,MCAV,7,0.233333333,30
2,2020,HB2,PAST,2,0.066666667,30
2,2020,HB2,SSID,6,0.2,30
2,2020,HB3,AAGA,2,0.066666667,30
2,2020,HB3,MCAV,6,0.2,30
2,2020,HB3,PAST,5,0.166666667,30
2,2020,HB3,SINT,1,0.033333333,30
2,2020,HB3,SSID,6,0.2,30
2,2020,HH2,PAME,1,0.033333333,30
2,2020,HH2,PPOR,5,0.166666667,30
2,2020,HH2,SSID,156,5.2,30
2,2021,Hillsboro,MCAV,2,0.066666667,30
2,2021,Hillsboro,SINT,2,0.066666667,30
2,2021,Hillsboro,SSID,1,0.033333333,30
2,2021,Hollywood,MCAV,2,0.066666667,30
2,2021,Hollywood,MDEC,1,0.033333333,30
2,2021,Hollywood,SINT,1,0.033333333,30
2,2021,Hollywood,SSID,1,0.033333333,30
2,2021,JUL Deep,MCAV,1,0.033333333,30
2,2021,JUL Deep,SINT,4,0.133333333,30
2,2021,JUL Deep,SSID,6,0.2,30
2,2020,JUL_1,MCAV,6,0.2,30
2,2020,JUL_1,SSID,5,0.166666667,30
2,2020,JUL_2,MCAV,7,0.233333333,30
2,2020,JUL_2,PAST,2,0.066666667,30
2,2020,JUL_2,SSID,5,0.166666667,30
2,2020,JUL_6,PAST,2,0.066666667,30
2,2020,JUL_6,SSID,6,0.2,30
2,2020,JUL_7,DSTO,2,0.066666667,30
2,2020,JUL_7,MCAV,10,0.333333333,30
2,2020,JUL_7,PAST,2,0.066666667,30
2,2020,JUL_7,PPOR,1,0.033333333,30
2,2020,JUL_7,SINT,3,0.1,30
2,2020,JUL_7,SSID,20,0.666666667,30
2,2020,JUL_8,MCAV,6,0.2,30
2,2020,JUL_8,PAST,4,0.133333333,30
2,2020,JUL_8,SINT,1,0.033333333,30
2,2020,JUL_8,SSID,7,0.233333333,30
2,2020,JUL_8,UNK,1,0.033333333,30
2,2020,POMP1,MCAV,2,0.066666667,30
2,2020,POMP1,PAST,5,0.166666667,30
2,2020,POMP1,PPOR,5,0.166666667,30
2,2020,POMP1,PSTR,1,0.033333333,30
2,2020,POMP1,SSID,31,1.033333333,30
2,2020,POMP2,MCAV,1,0.033333333,30
2,2020,POMP2,PPOR,2,0.066666667,30
2,2020,POMP2,SSID,7,0.233333333,30
2,2020,POMP3,AAGA,1,0.033333333,30
2,2020,POMP3,MCAV,3,0.1,30
2,2020,POMP3,PAST,6,0.2,30
2,2020,POMP3,SINT,2,0.066666667,30
2,2020,POMP3,SSID,19,0.633333333,30
2,2020,POMP4,PAST,1,0.033333333,30
2,2020,POMP4,SSID,336,11.2,30
2,2020,POMP5,MCAV,3,0.1,30
2,2020,POMP5,PAST,1,0.033333333,30
2,2020,POMP5,PSTR,1,0.033333333,30
2,2020,POMP5,SSID,41,1.366666667,30
2,2020,POMP6,DSTO,1,0.033333333,30
2,2020,POMP6,MCAV,4,0.133333333,30
2,2020,POMP6,SSID,6,0.2,30
2,2021,Pompano,MCAV,2,0.066666667,30
2,2021,Pompano,PAST,1,0.033333333,30
2,2021,Pompano,SINT,1,0.033333333,30
2,2021,Pompano,SSID,11,0.366666667,30
3,2021,DB2,MCAV,3,0.1,30
3,2021,DB2,PAST,4,0.133333333,30
3,2021,DB2,SSID,9,0.3,30
3,2021,DB3,SSID,3,0.1,30
3,2022,Deerfield,MCAV,1,0.033333333,30
3,2022,Deerfield,SINT,1,0.033333333,30
3,2022,Deerfield,SSID,2,0.066666667,30
3,2022,FTL Deep,MCAV,4,0.133333333,30
3,2022,FTL Deep,MDEC,1,0.033333333,30
3,2022,FTL Deep,PAST,1,0.033333333,30
3,2022,FTL Deep,SINT,1,0.033333333,30
3,2022,FTL Deep,SSID,2,0.066666667,30
3,2021,FTL1,PAST,2,0.066666667,30
3,2021,FTL1,PPOR,5,0.166666667,30
3,2021,FTL1,SSID,5,0.166666667,30
3,2021,FTL2,MCAV,3,0.1,30
3,2021,FTL2,PAST,1,0.033333333,30
3,2021,FTL2,SSID,3,0.1,30
3,2021,FTL3,MCAV,2,0.066666667,30
3,2021,FTL3,PAST,2,0.066666667,30
3,2021,FTL3,SINT,3,0.1,30
3,2021,FTL3,SSID,3,0.1,30
3,2021,FTL4,SSID,4,0.133333333,30
3,2021,FTL5,MCAV,2,0.066666667,30
3,2021,FTL5,PAST,1,0.033333333,30
3,2021,FTL5,SSID,3,0.1,30
3,2021,FTL6,AAGA,37,1.233333333,30
3,2021,FTL6,MCAV,1,0.033333333,30
3,2021,FTL6,SSID,2,0.066666667,30
3,2021,HB2,MCAV,4,0.133333333,30
3,2021,HB2,PAST,4,0.133333333,30
3,2021,HB2,SINT,1,0.033333333,30
3,2021,HB3,AAGA,3,0.1,30
3,2021,HB3,MCAV,4,0.133333333,30
3,2021,HB3,OFAV,1,0.033333333,30
3,2021,HB3,PAST,4,0.133333333,30
3,2021,HB3,SSID,3,0.1,30
3,2021,HH2,PAST,4,0.133333333,30
3,2021,HH2,PPOR,1,0.033333333,30
3,2021,HH2,SSID,80,2.666666667,30
3,2022,Hillsboro,MCAV,2,0.066666667,30
3,2022,Hillsboro,PAST,1,0.033333333,30
3,2022,Hillsboro,SSID,1,0.033333333,30
3,2022,Hollywood,SINT,3,0.1,30
3,2022,Hollywood,SSID,2,0.066666667,30
3,2022,JUL Deep,MCAV,2,0.066666667,30
3,2022,JUL Deep,MSEN,1,0.033333333,30
3,2022,JUL Deep,PAST,2,0.066666667,30
3,2022,JUL Deep,SCUB,1,0.033333333,30
3,2022,JUL Deep,SINT,3,0.1,30
3,2022,JUL Deep,SSID,8,0.266666667,30
3,2021,JUL_1,MALI,1,0.033333333,30
3,2021,JUL_1,MCAV,5,0.166666667,30
3,2021,JUL_1,MMEA,1,0.033333333,30
3,2021,JUL_1,PAST,1,0.033333333,30
3,2021,JUL_1,SINT,4,0.133333333,30
3,2021,JUL_1,SSID,16,0.533333333,30
3,2021,JUL_2,DSTO,2,0.066666667,30
3,2021,JUL_2,MCAV,6,0.2,30
3,2021,JUL_2,MDEC,1,0.033333333,30
3,2021,JUL_2,PAST,5,0.166666667,30
3,2021,JUL_2,SINT,1,0.033333333,30
3,2021,JUL_2,SSID,7,0.233333333,30
3,2021,JUL_6,PAST,2,0.066666667,30
3,2021,JUL_6,PPOR,1,0.033333333,30
3,2021,JUL_6,SSID,5,0.166666667,30
3,2021,JUL_7,AAGA,1,0.033333333,30
3,2021,JUL_7,MCAV,9,0.3,30
3,2021,JUL_7,PAST,3,0.1,30
3,2021,JUL_7,SINT,3,0.1,30
3,2021,JUL_7,SSID,46,1.533333333,30
3,2021,JUL_8,MCAV,9,0.3,30
3,2021,JUL_8,PAST,6,0.2,30
3,2021,JUL_8,SINT,2,0.066666667,30
3,2021,JUL_8,SSID,16,0.533333333,30
3,2021,POMP1,AAGA,1,0.033333333,30
3,2021,POMP1,MCAV,1,0.033333333,30
3,2021,POMP1,PAST,7,0.233333333,30
3,2021,POMP1,PPOR,1,0.033333333,30
3,2021,POMP1,PSTR,1,0.033333333,30
3,2021,POMP1,SINT,1,0.033333333,30
3,2021,POMP1,SSID,18,0.6,30
3,2021,POMP2,PAST,2,0.066666667,30
3,2021,POMP2,SSID,2,0.066666667,30
3,2021,POMP3,MCAV,1,0.033333333,30
3,2021,POMP3,PAST,1,0.033333333,30
3,2021,POMP3,SSID,2,0.066666667,30
3,2021,POMP4,PAST,1,0.033333333,30
3,2021,POMP4,PPOR,2,0.066666667,30
3,2021,POMP4,SSID,78,2.6,30
3,2021,POMP5,PSTR,3,0.1,30
3,2021,POMP5,SSID,11,0.366666667,30
3,2021,POMP6,MCAV,2,0.066666667,30
3,2021,POMP6,SINT,1,0.033333333,30
3,2021,POMP6,SSID,3,0.1,30
3,2022,Pompano,MCAV,6,0.2,30
3,2022,Pompano,SSID,4,0.133333333,30
